epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,100.457,0.19212,0.97774,1,0.05876,0.000549997,0.000549997,0.000549997
2,193.465,0.06022,0.97615,1,0.06098,0.00106918,0.00106918,0.00106918
3,288.413,0.05685,0.94595,1,0.11633,0.00155168,0.00155168,0.00155168
4,378.026,0.059,0.938,1,0.1494,0.00150197,0.00150197,0.00150197
5,467.375,0.07086,0.97456,1,0.0739,0.00144696,0.00144696,0.00144696
6,559.775,0.04627,0.9841,1,0.04152,0.00139195,0.00139195,0.00139195
7,652.437,0.04156,0.98887,1,0.03406,0.00133693,0.00133693,0.00133693
8,746.613,0.03002,0.98887,1,0.03609,0.00128192,0.00128192,0.00128192
9,833.428,0.04716,0.97933,1,0.04948,0.00122691,0.00122691,0.00122691
10,926.569,0.03364,0.99523,1,0.02002,0.0011719,0.0011719,0.0011719
11,1018.47,0.03255,0.98887,1,0.02602,0.00111689,0.00111689,0.00111689
12,1115.09,0.02899,0.98092,1,0.04969,0.00106188,0.00106188,0.00106188
13,1203.16,0.02361,0.98728,1,0.0496,0.00100687,0.00100687,0.00100687
14,1293.17,0.02702,0.98569,1,0.05883,0.000951857,0.000951857,0.000951857
15,1385.73,0.0302,0.98728,1,0.03951,0.000896846,0.000896846,0.000896846
16,1476.92,0.02392,0.98887,1,0.03467,0.000841835,0.000841835,0.000841835
17,1571.29,0.01611,0.98728,1,0.03639,0.000786824,0.000786824,0.000786824
18,1659.72,0.01413,0.98887,1,0.02718,0.000731813,0.000731813,0.000731813
19,1754.25,0.01268,0.98728,1,0.03548,0.000676802,0.000676802,0.000676802
20,1843.79,0.01315,0.98728,1,0.03467,0.000621791,0.000621791,0.000621791
21,1969.3,0.00755,0.98887,1,0.02746,0.00056678,0.00056678,0.00056678
22,2058.31,0.01095,0.98887,1,0.02128,0.000511769,0.000511769,0.000511769
23,2151.56,0.00722,0.99205,1,0.01815,0.000456758,0.000456758,0.000456758
24,2241.85,0.00509,0.99205,1,0.02001,0.000401747,0.000401747,0.000401747
25,2337.68,0.00557,0.99364,1,0.01383,0.000346736,0.000346736,0.000346736
26,2426.9,0.00671,0.99523,1,0.016,0.000291725,0.000291725,0.000291725
27,2519.9,0.00948,0.99523,1,0.02389,0.000236714,0.000236714,0.000236714
28,2609.1,0.00509,0.99205,1,0.02386,0.000181703,0.000181703,0.000181703
29,2704.58,0.00487,0.99523,1,0.02164,0.000126692,0.000126692,0.000126692
30,2794.61,0.00719,0.99205,1,0.02014,7.1681e-05,7.1681e-05,7.1681e-05
