epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,268.834,0.68151,0.77325,1.25689,0.78176,0.82508,0.84567,0.53796,1.04221,1.01814,1.62078,0.0671684,0.000331633,0.000331633
2,519.311,0.66628,0.56562,1.24503,0.8911,0.82369,0.90863,0.67838,0.89881,0.90355,1.46246,0.034159,0.000655561,0.000655561
3,766.672,0.65887,0.56095,1.23543,0.88856,0.78948,0.88564,0.58839,1.03398,0.89914,1.59808,0.00114013,0.000970062,0.000970062
4,1014.38,0.61775,0.49895,1.1986,0.93138,0.92079,0.96046,0.72403,0.8706,0.69941,1.41205,0.000957571,0.000957571,0.000957571
5,1261.79,0.61548,0.488,1.20782,0.88147,0.92739,0.94912,0.72339,0.92912,0.63954,1.48503,0.000943429,0.000943429,0.000943429
6,1510.38,0.59945,0.46568,1.18782,0.9238,0.89769,0.93819,0.74733,0.85172,0.64787,1.46052,0.000929286,0.000929286,0.000929286
7,1759.39,0.57792,0.45703,1.17213,0.87209,0.91914,0.93731,0.72406,0.85943,0.62769,1.44282,0.000915143,0.000915143,0.000915143
8,2006.58,0.57375,0.45027,1.17079,0.89346,0.90099,0.94731,0.73961,0.80956,0.6117,1.37988,0.000901,0.000901,0.000901
9,2254.12,0.56263,0.43933,1.15874,0.90192,0.88014,0.93253,0.75602,0.80474,0.67359,1.37583,0.000886857,0.000886857,0.000886857
10,2498.92,0.54614,0.40622,1.14757,0.92559,0.90924,0.95082,0.77277,0.722,0.54691,1.26497,0.000872714,0.000872714,0.000872714
11,2743.17,0.53572,0.40244,1.14504,0.91901,0.88006,0.93934,0.73669,0.82184,0.61818,1.42404,0.000858571,0.000858571,0.000858571
12,2987.05,0.54044,0.39979,1.14628,0.93717,0.93894,0.96693,0.80891,0.73243,0.5019,1.33504,0.000844429,0.000844429,0.000844429
13,3232.26,0.53496,0.40025,1.14294,0.9114,0.93069,0.95755,0.78526,0.73009,0.53106,1.26131,0.000830286,0.000830286,0.000830286
14,3564.8,0.5105,0.38682,1.12645,0.90201,0.86579,0.93961,0.75567,0.76186,0.5891,1.34014,0.000816143,0.000816143,0.000816143
15,3831.35,0.51502,0.37788,1.12384,0.92583,0.94884,0.96445,0.79624,0.74654,0.48742,1.2918,0.000802,0.000802,0.000802
16,4078.99,0.49008,0.3608,1.11134,0.92223,0.91967,0.94272,0.78277,0.71613,0.55398,1.27219,0.000787857,0.000787857,0.000787857
17,4325.49,0.5011,0.37056,1.11776,0.92109,0.94059,0.96253,0.79573,0.71955,0.49084,1.28341,0.000773714,0.000773714,0.000773714
18,4570.74,0.48382,0.35227,1.10906,0.91468,0.91989,0.96531,0.80823,0.7013,0.52006,1.23043,0.000759571,0.000759571,0.000759571
19,4817,0.47955,0.34797,1.10162,0.92692,0.93894,0.96267,0.81018,0.61863,0.44243,1.16397,0.000745429,0.000745429,0.000745429
20,5063.28,0.47751,0.35249,1.10542,0.92934,0.93324,0.97073,0.83457,0.60925,0.44591,1.15732,0.000731286,0.000731286,0.000731286
21,5309.77,0.47146,0.34388,1.09686,0.91449,0.95545,0.96586,0.81852,0.64915,0.45893,1.19234,0.000717143,0.000717143,0.000717143
22,5556.38,0.47775,0.34172,1.10672,0.90911,0.91419,0.95165,0.80021,0.66688,0.49385,1.19333,0.000703,0.000703,0.000703
23,5802.52,0.46958,0.34333,1.09821,0.93904,0.92574,0.96395,0.82269,0.67471,0.47049,1.23632,0.000688857,0.000688857,0.000688857
24,6049.67,0.4536,0.33497,1.08593,0.90588,0.9505,0.95948,0.80768,0.66157,0.47933,1.20226,0.000674714,0.000674714,0.000674714
25,6296.31,0.45107,0.33931,1.09038,0.92494,0.94389,0.97032,0.81381,0.6517,0.48087,1.22058,0.000660571,0.000660571,0.000660571
26,6542.64,0.43534,0.328,1.07695,0.94397,0.88959,0.96251,0.79696,0.65258,0.46823,1.21173,0.000646429,0.000646429,0.000646429
27,6789.12,0.44145,0.33112,1.08205,0.93813,0.92576,0.95762,0.81458,0.61241,0.46681,1.15145,0.000632286,0.000632286,0.000632286
28,7034.82,0.42935,0.31323,1.07252,0.93562,0.93535,0.96595,0.80176,0.62674,0.50041,1.16302,0.000618143,0.000618143,0.000618143
29,7281.3,0.42896,0.31729,1.07011,0.91785,0.88779,0.94002,0.80176,0.66325,0.64059,1.21346,0.000604,0.000604,0.000604
30,7530,0.43882,0.32615,1.07887,0.93759,0.91419,0.94531,0.78563,0.7089,0.52703,1.23028,0.000589857,0.000589857,0.000589857
31,7776.27,0.42861,0.31981,1.07001,0.93722,0.88119,0.94429,0.77742,0.68285,0.59241,1.17724,0.000575714,0.000575714,0.000575714
32,8023.09,0.43917,0.31999,1.07527,0.92513,0.938,0.96494,0.82966,0.58817,0.44647,1.11676,0.000561571,0.000561571,0.000561571
33,8269.56,0.41495,0.30674,1.05989,0.94862,0.91395,0.96236,0.82616,0.63924,0.48259,1.17457,0.000547429,0.000547429,0.000547429
34,8516.26,0.42696,0.31048,1.07074,0.94322,0.93208,0.96259,0.80567,0.61016,0.46218,1.15292,0.000533286,0.000533286,0.000533286
35,8763.13,0.41763,0.30568,1.06293,0.93322,0.93399,0.96073,0.81689,0.62716,0.45653,1.17536,0.000519143,0.000519143,0.000519143
