epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.666,3.20069,3.50756,4.23666,0.00282,1,0.01389,0.00481,2.59595,3.18033,4.15753,0.00014,0.00014,0.00014
2,20.3106,3.10164,3.37948,4.19589,0.00288,1,0.0174,0.00612,2.57507,3.17066,4.1492,0.000298515,0.000298515,0.000298515
3,25.0536,3.04367,3.24426,4.12147,0.00282,1,0.0198,0.00655,2.55266,3.16225,4.13884,0.000455446,0.000455446,0.000455446
4,29.7907,2.99381,3.08754,4.04156,0.00289,1,0.02117,0.00826,2.54147,3.15204,4.12789,0.000610793,0.000610793,0.000610793
5,34.4163,2.87948,3.23742,3.94356,0.00282,1,0.02544,0.00895,2.52484,3.15154,4.11485,0.000764556,0.000764556,0.000764556
6,39.1923,2.80878,3.14224,3.7536,0.00282,1,0.0451,0.03463,2.39876,3.12197,4.02292,0.000916735,0.000916735,0.000916735
7,43.7655,2.69485,3.11892,3.66074,0.00292,1,0.09176,0.03693,2.22738,3.17013,3.84859,0.00106733,0.00106733,0.00106733
8,48.5559,2.63695,3.07311,3.57079,0.00282,1,0.21561,0.05697,2.15099,3.28626,3.60472,0.00121634,0.00121634,0.00121634
9,53.2029,2.61425,2.96106,3.43095,0.011,0.90909,0.36866,0.13403,2.13069,3.53298,3.45768,0.00136377,0.00136377,0.00136377
10,57.8023,2.63617,3.00391,3.3797,0.04041,0.90909,0.29626,0.05987,2.37766,5.24343,4.35657,0.00150961,0.00150961,0.00150961
11,62.5739,2.46602,2.92924,3.25759,0.05677,0.90909,0.3386,0.08724,2.25513,16.8825,5.42502,0.00165387,0.00165387,0.00165387
12,67.2097,2.41896,2.83018,3.18704,0.03659,0.90909,0.34198,0.08338,2.39504,14.3165,5.46784,0.00179654,0.00179654,0.00179654
13,72.2132,2.47785,2.77871,3.1809,0.02721,0.90909,0.17075,0.0414,2.41195,4.32257,4.03368,0.0018812,0.0018812,0.0018812
14,77.0103,2.45776,2.72265,3.10685,0.00247,0.90909,0.43545,0.08304,2.21338,2.74732,3.33121,0.0018713,0.0018713,0.0018713
15,81.7222,2.30345,2.6965,2.97932,0.19543,0.18182,0.32135,0.09632,2.53858,10.9557,4.11959,0.0018614,0.0018614,0.0018614
16,86.5656,2.31779,2.69849,2.97253,0.21337,0.22727,0.18561,0.04757,2.40403,9.15446,3.72076,0.0018515,0.0018515,0.0018515
17,91.1706,2.28313,2.65737,2.94477,0.18749,0.27273,0.15012,0.04499,2.1693,3.11255,3.3208,0.0018416,0.0018416,0.0018416
18,95.8051,2.25148,2.59451,2.96522,0.15642,0.40909,0.15169,0.05654,2.00455,3.4785,3.08239,0.0018317,0.0018317,0.0018317
19,100.53,2.11257,2.41898,2.83758,0.26401,0.68182,0.24389,0.09022,1.94503,4.28272,2.86921,0.0018218,0.0018218,0.0018218
20,105.243,2.1446,2.50513,2.79682,0.3298,0.81818,0.37391,0.16587,1.85212,3.60321,2.84877,0.0018119,0.0018119,0.0018119
21,109.988,2.07823,2.48744,2.77435,0.10972,0.18182,0.09878,0.04353,1.71214,3.5354,2.65544,0.001802,0.001802,0.001802
22,114.746,2.11444,2.35886,2.64315,0.33575,0.45455,0.39674,0.16825,1.58862,3.25295,2.63289,0.0017921,0.0017921,0.0017921
23,119.498,1.9649,2.27178,2.6546,0.2897,0.72727,0.47704,0.17751,1.6044,3.73924,2.56947,0.0017822,0.0017822,0.0017822
24,124.174,1.97444,2.19115,2.63413,0.38233,0.54545,0.38504,0.15537,1.59285,3.26486,2.50237,0.0017723,0.0017723,0.0017723
25,128.792,1.88812,2.03866,2.52655,0.31972,0.77273,0.37984,0.13976,1.69496,2.45973,2.73298,0.0017624,0.0017624,0.0017624
26,133.445,1.93076,2.22695,2.5396,0.39784,0.45455,0.49527,0.25626,1.51475,2.27525,2.48957,0.0017525,0.0017525,0.0017525
27,138.107,1.85016,1.96406,2.51754,0.53407,0.77273,0.62495,0.35017,1.46343,2.09321,2.40359,0.0017426,0.0017426,0.0017426
28,142.79,1.80367,2.10521,2.53676,0.80488,0.63636,0.69849,0.35094,1.50594,2.58339,2.45027,0.0017327,0.0017327,0.0017327
29,147.573,1.83541,1.99298,2.46518,0.4651,0.63636,0.47362,0.28968,1.38962,2.1345,2.26843,0.0017228,0.0017228,0.0017228
30,152.19,1.75772,2.00882,2.45342,0.52826,0.63636,0.63923,0.3989,1.29662,3.53678,2.17639,0.0017129,0.0017129,0.0017129
31,156.942,1.5841,1.82401,2.309,0.51702,0.77273,0.64154,0.43265,1.31136,3.61142,2.1746,0.001703,0.001703,0.001703
32,161.67,1.61692,1.78463,2.35042,0.53834,0.77273,0.66277,0.35064,1.44782,3.58764,2.28944,0.0016931,0.0016931,0.0016931
