epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.3971,3.1955,3.48479,4.23191,0.00302,1,0.04383,0.01418,2.59547,3.5249,4.15766,0.00014,0.00014,0.00014
2,92.6431,3.08409,3.3695,4.17823,0.00294,1,0.06402,0.01801,2.57872,3.5217,4.14976,0.00029703,0.00029703,0.00029703
3,132.142,3.03302,3.20958,4.10327,0.00303,1,0.22627,0.05697,2.5652,3.52371,4.14228,0.000450892,0.000450892,0.000450892
4,170.775,2.9436,3.12775,4.0256,0.00289,1,0.30356,0.05985,2.55913,3.5122,4.13712,0.000601586,0.000601586,0.000601586
5,209.718,2.84277,3.27148,3.93421,0.00291,1,0.51634,0.10577,2.51149,3.50739,4.10443,0.000749112,0.000749112,0.000749112
6,248.312,2.82111,3.15497,3.77192,0.00283,1,0.4691,0.10902,2.49101,3.444,4.05207,0.00089347,0.00089347,0.00089347
7,286.956,2.69657,3.13301,3.63766,0.00281,1,0.24025,0.05667,2.33683,3.3767,3.91206,0.00103466,0.00103466,0.00103466
8,326.149,2.69159,3.08504,3.59315,0.00276,1,0.48008,0.12507,2.14256,3.42228,3.74678,0.00117268,0.00117268,0.00117268
9,364.534,2.62155,2.99487,3.41739,0.01209,0.90909,0.38462,0.11564,2.24823,3.65946,3.79062,0.00130754,0.00130754,0.00130754
10,403.201,2.64135,3.03217,3.39516,0.00308,1,0.12744,0.02917,2.67667,3.13485,4.3715,0.00143922,0.00143922,0.00143922
11,445.226,2.4902,3.0051,3.25745,0.04767,0.90909,0.39246,0.08074,2.43889,9.51288,6.4685,0.00156774,0.00156774,0.00156774
12,485.033,2.44994,2.82088,3.18339,0.03491,0.90909,0.62332,0.15246,2.41582,24.911,5.77934,0.00169309,0.00169309,0.00169309
13,524.672,2.49915,2.79255,3.19105,0.04325,0.90909,0.18499,0.03918,2.32537,12.507,3.90897,0.0017624,0.0017624,0.0017624
14,563.431,2.50854,2.83324,3.13186,0.04059,0.90909,0.08998,0.02715,2.16417,3.936,3.1558,0.0017426,0.0017426,0.0017426
15,602.817,2.34534,2.82527,3.00244,0.20247,0.09091,0.12306,0.04014,2.34783,3.7408,3.81929,0.0017228,0.0017228,0.0017228
16,644.752,2.32724,2.81821,3.01474,0.21786,0.22727,0.16505,0.05676,2.38892,6.243,4.07754,0.001703,0.001703,0.001703
17,683.09,2.3124,2.74917,3.00406,0.18439,0.31818,0.16291,0.06264,2.16443,3.03468,3.56959,0.0016832,0.0016832,0.0016832
18,722.251,2.32662,2.74287,3.01007,0.1908,0.36364,0.20963,0.0871,2.12445,3.20289,3.23848,0.0016634,0.0016634,0.0016634
19,760.699,2.16359,2.54301,2.88047,0.27123,0.63636,0.32764,0.13292,2.0533,5.52454,2.94803,0.0016436,0.0016436,0.0016436
20,800.161,2.1666,2.59052,2.85722,0.4763,0.45455,0.42557,0.15849,1.84791,3.38023,2.79852,0.0016238,0.0016238,0.0016238
21,839.338,2.13855,2.47976,2.7895,0.12671,0.63636,0.12818,0.05843,1.80763,3.96946,2.68179,0.001604,0.001604,0.001604
22,878.618,2.14791,2.43739,2.67884,0.35619,0.68182,0.38707,0.14422,1.6337,4.4352,2.58495,0.0015842,0.0015842,0.0015842
23,918.847,2.06236,2.34983,2.74707,0.37772,0.63636,0.46219,0.12732,1.97984,6.12414,2.84616,0.0015644,0.0015644,0.0015644
24,957.789,1.94875,2.30195,2.67156,0.36691,0.77273,0.5047,0.21624,1.56632,2.32525,2.36202,0.0015446,0.0015446,0.0015446
25,996.983,1.90276,2.09994,2.53473,0.3989,0.72727,0.50308,0.21197,1.56313,2.51937,2.46117,0.0015248,0.0015248,0.0015248
26,1036.09,1.91576,2.22283,2.5939,0.31777,0.77273,0.3859,0.17753,1.6914,3.24266,2.5809,0.001505,0.001505,0.001505
27,1075.24,1.8255,2.16274,2.54702,0.23265,0.79944,0.35861,0.15572,1.62127,2.59379,2.50334,0.0014852,0.0014852,0.0014852
28,1114.32,1.82127,2.20821,2.49651,0.57991,0.59091,0.69022,0.4012,1.62701,2.74136,2.53178,0.0014654,0.0014654,0.0014654
29,1152.44,1.78641,2.03565,2.38701,0.63997,0.63636,0.64918,0.38473,1.54053,3.181,2.40491,0.0014456,0.0014456,0.0014456
30,1191.25,1.74251,2.04358,2.41171,0.67601,0.63636,0.60944,0.37105,1.52835,2.49883,2.33886,0.0014258,0.0014258,0.0014258
